"%"
"($vouchercardtype_nid)->title"
"1"
"1"
"10"
"100"
"1000"
"10000"
"111"
"111"
"2"
"3"
"4"
"5"
"<"
"<"
"<="
"<="
"="
"="
">"
">"
">="
">="
"a"
"Accumulated"
"Accumulated"
"Accumulated"
"ACTIVE"
"ADDITIONAL"
"AGGREGATION"
"ALLOWANCE"
"ALLOWANCE"
"ALLOWANCE"
"Allowance"
"Allowance"
"Allowance"
"Allowance"
"Allowed"
"Allowed Number"
"Allowed Number"
"Allowed Prefix"
"ALTERNATE"
"asdf"
"Attribute"
"Attribute"
"b"
"balance"
"BASIC"
"Basic"
"Basic Rate"
"Basic Rate"
"Basic Rate"
"Basic Rate"
"between"
"between"
"BOOLEAN"
"BOTH"
"Broadband"
"Broadband"
"BUNDLE"
"BUNDLED"
"BYTE"
"BYTE"
"BYTE"
"Byte"
"BYTES"
"c"
"CALCULATED_DAILY"
"CALL"
"CALL"
"called"
"CALLED"
"CALLEE"
"calling"
"CALLTIME_USAGE"
"call_type"
"CDMA"
"CHARGE"
"CHARGE"
"Charge"
"Charge"
"CLOSED"
"CLOSED_BOTTOM"
"CLOSED_TOP"
"Connection Fee"
"Connection Fee"
"CONTENT"
"CORPORATE"
"CORPORATE"
"COUNT"
"COUNT"
"Count"
"Counter"
"Counter"
"COUNTER"
"Cross"
"CUSTOM"
"Custom"
"Custom"
"d"
"DAILY"
"DAILY"
"DAILY"
"Data"
"DATA"
"Data"
"data_load_type"
"DEPENDENCY"
"DEPLOYED"
"Deposit"
"Deposit"
"DEVICE"
"Devices"
"Devices"
"DISCOUNT"
"DISCOUNT"
"DISCOUNT"
"Discount"
"Discount"
"DOLLAR"
"Domestic"
"Domestic"
"Dummy"
"Dummy"
"e"
"EDITING"
"English"
"EQUIVALENT"
"EXCLUSIVE"
"EXCLUSIVE"
"EXCLUSIVITY"
"f"
"FEMALE"
"Forbidden Number"
"Forbidden Number"
"FREE_CALLTIME"
"FREE_CRBT"
"FREE_GPRS"
"FREE_MMS"
"FREE_PACKET"
"FREE_REMAINS"
"FREE_SMS"
"FREE_VIDEO_CALLTIME"
"FREE_VOD"
"FRI"
"GENERAL"
"General"
"General"
"GSM"
"HISTORY"
"HOUSEHOLD"
"Hybrid"
"in"
"INACTIVE"
"INDIVIDUAL"
"Indivisual"
"Indivisual"
"International"
"International"
"in_service"
"IPTV"
"IPTV"
"isPostSubs"
"is_family"
"is_favorite"
"is_vpn"
"Korean"
"LG"
"MAIN"
"Main"
"Main"
"Main"
"MALE"
"MANUFACTURER"
"MASTER"
"MAX"
"MAX"
"mday"
"MESSAGE"
"MIGRATE"
"MIGRATION"
"MIN"
"MIN"
"Min"
"MINUTES"
"MINUTES"
"MMS"
"MNT"
"MOBICOM"
"Mobile"
"Mobile"
"MON"
"MONEY"
"Money"
"Mongolish"
"MONTHLY"
"MONTHLY"
"MONTHLY"
"NONE"
"NonUsage"
"NonUsage"
"notin"
"NTC"
"NTC"
"Number Fee"
"Number Fee"
"Number Special"
"Number Special"
"Number Special Factors"
"Numbering Plan"
"Numbering Plan"
"Numbering Plan"
"Numbering Plan"
"NUMERIC"
"ONLY_ONE"
"ONLY_ONE"
"OPEN"
"OPTIONAL"
"Optional"
"PACKAGED"
"PACKET"
"PACKET"
"PACKET"
"PACKET_USAGE"
"PC_BLOCK"
"PC_DEPOSIT"
"PC_EVENT"
"PC_NOTI"
"PC_PACKET"
"PC_RECHARGE"
"PC_ROLLOVER"
"PC_SMS"
"PC_SUBSCRIBE"
"PC_UNSUBSCRIBE"
"PC_VOICE"
"PENALTY"
"PLANNED"
"Postpaid"
"Postpaid"
"Prefix Range"
"Prepaid"
"Prepaid"
"PRICE_PLAN"
"PRODUCT"
"Product Specific"
"product_code"
"Rates"
"rating_group"
"RATING_RULES"
"Recharge"
"Recharge"
"RECURRING"
"REMAINS"
"SAMSUNG"
"SAT"
"Satellite"
"Satellite"
"Sec"
"SECOND"
"SECOND"
"SECONDS"
"SECONDS"
"SELF"
"service"
"Service Domain Specific"
"service_id"
"service_option"
"SKT"
"SKYTEL"
"SKYTEL"
"SMS"
"SMS"
"SMS"
"SMS"
"SMS"
"SMS_USAGE"
"ssssdfdfs"
"startswith"
"SUBSCRIBE"
"Subscribe"
"Subscribe"
"SUBSTITUTION"
"SUN"
"SUSPEND"
"SYSTEM_READY"
"Terminate"
"Terminate"
"test01"
"test02"
"test03"
"test04"
"TEST_DEPLOYED"
"TEST_READY"
"TEXT"
"THU"
"TIME"
"TIME"
"TIME"
"TUE"
"TUGRIK"
"TUGRIK"
"UNION"
"UNION"
"UnitTransfer"
"UnitTransfer"
"UNSUBSCRIBE"
"Usage"
"Usage"
"USAGE"
"USD"
"used_packet"
"vas"
"VAS"
"VAS"
"VIDEO"
"VOICE"
"Voice"
"VOICE"
"Voice"
"VoIP"
"VoIP"
"VOLUME"
"VOUCHER"
"vpn_rate"
"WED"
"WEEKLY"
"YEARLY"
