"CALLTIME_USAGE"
"FREE_CALLTIME"
"FREE_CRBT"
"FREE_GPRS"
"FREE_MMS"
"FREE_PACKET"
"FREE_REMAINS"
"FREE_SMS"
"FREE_VIDEO_CALLTIME"
"FREE_VOD"
"HISTORY"
"PACKET_USAGE"
"REMAINS"
"SMS_USAGE"
"USAGE"
