"Allowance"
"Allowed Number"
"Basic Rate"
"Basic Rate"
"Charge"
"Custom"
"Discount"
"Domestic"
"Forbidden Number"
"International"
"Number Special"
"Numbering Plan"
"Numbering Plan"
