"Attribute"
"Attribute","Service Feature Code"
"Attribute","Allowed Prefix"
"Attribute","Benefits"
"PackagedProduct"
"PackagedProduct","Mandatory"
"PackagedProduct","Optional"
"PackagedProduct","Hidden"
"Counter"
"Counter","Main"
"Counter","Accumulated"
"NonUsage"
"NonUsage","Recurring Charge"
"NonUsage","Entry"
"NonUsage","ReEntry"
"NonUsage","Recharge"
"NonUsage","UnitTransfer"
"Usage"
"Usage","Voice"
"Usage","SMS"
"Usage","Data"
"Attribute"
"Attribute","Service Feature Code"
"Attribute","Allowed Prefix"
"Attribute","Benefits"
"PackagedProduct"
"PackagedProduct","Mandatory"
"PackagedProduct","Optional"
"PackagedProduct","Hidden"
"Counter"
"Counter","Main"
"Counter","Accumulated"
"NonUsage"
"NonUsage","Recurring Charge"
"NonUsage","Registration Fee"
"NonUsage","Bonus"
"NonUsage","Deposit Scheme"
"NonUsage","Threshold Scheme"
"Usage"
"Usage","Voice"
"Usage","SMS"
"Usage","Data"
